PairNumber,Condition,Noun,Category,Is it alive?,Can you eat or drink it?,Can you find it in the wild?,Can you wear it?,Can you hold it?,Did humans create it?,Does it make sounds?,Does it float in water?
1,High,BULLDOG,ANIMAL,1,0,0,0,1,-1,1,0
2,Low,INSECT,ANIMAL,1,0,1,0,1,0,1,1
5,High,MOUSE,ANIMAL,1,0,1,0,1,0,1,1
6,Low,FISH,ANIMAL,1,1,1,0,1,0,0,0
9,High,SPARROW,ANIMAL,1,0,1,0,1,0,1,1
10,Low,LIZARD,ANIMAL,1,0,1,0,1,0,-1,1
13,High,FROG,ANIMAL,1,-1,1,0,1,0,1,0
14,Low,SPIDER,ANIMAL,1,0,1,0,1,0,-1,1
17,High,ASPIRIN,ARTIFACTS,0,1,0,0,1,1,0,0
18,Low,CANDY,FOOD,0,1,0,0,1,1,0,0
21,High,RING,ARTIFACTS,0,0,0,1,1,1,0,0
22,Low,COIN,ARTIFACTS,0,0,0,0,1,1,0,0
25,High,AXE,ARTIFACTS,0,0,0,-1,1,1,0,0
26,Low,CONTAINER,ARTIFACTS,0,0,0,0,-1,-1,0,1
29,High,PURSE,CLOTHES+ACCESS,0,0,0,1,1,1,0,1
30,Low,HAT,CLOTHES+ACCESS,0,0,0,1,1,1,0,1
33,High,UNCLE,FAMILY,1,0,0,0,0,0,1,-1
34,Low,GRANDPARENT,FAMILY,1,0,0,0,0,0,1,-1
37,High,BROCCOLI,FOOD,0,1,1,0,1,0,0,-1
38,Low,PASTA,FOOD,0,1,0,0,1,1,0,-1
41,High,COKE,FOOD,0,1,0,0,-1,1,0,-1
42,Low,HERB,FOOD,0,1,1,0,1,0,0,1
45,High,KETCHUP,FOOD,0,1,0,0,1,1,0,-1
46,Low,SAUCE,FOOD,0,1,0,0,1,1,0,-1
49,High,PHONE,ARTIFACTS,0,0,0,-1,1,1,1,0
50,Low,ALCOHOL,FOOD,0,1,0,0,-1,1,0,-1
53,High,EARTH,NATURE INANIMATE,0,0,1,0,0,0,-1,-1
54,Low,WINE,FOOD,0,1,0,0,-1,1,0,-1
57,High,TEA,FOOD,0,1,-1,0,-1,-1,0,-1
58,Low,ORGAN,HUMAN PART,-1,-1,-1,0,1,0,0,-1
61,High,PINKIE,HUMAN PART,0,0,-1,0,1,0,0,1
62,Low,MUSCLE,HUMAN PART,0,-1,-1,0,-1,0,0,0
65,High,EARTHQUAKE,NATURE INANIMATE,0,0,1,0,0,0,-1,-1
66,Low,MINERAL,NATURE INANIMATE,0,0,1,0,-1,0,0,0
69,High,GOLD,NATURE INANIMATE,0,0,1,1,-1,0,0,0
70,Low,DOCTOR,OCCUPATION,1,0,0,0,0,1,1,1
73,High,COMEDIAN,OCCUPATION,1,0,0,0,0,1,1,1
74,Low,ARTIST,OCCUPATION,1,0,0,0,0,1,1,1
77,High,BALLERINA,OCCUPATION,1,0,0,0,0,1,1,1
78,Low,EMOTION,OTHER,0,0,-1,0,0,0,0,-1
81,High,MURDER,OTHER,0,0,-1,0,0,0,0,-1
82,Low,MONSTER,OTHER,-1,0,0,0,0,1,-1,-1
85,High,DOLLAR,OTHER,0,0,0,0,1,1,0,-1
86,Low,IDEOLOGY,OTHER,0,0,0,0,0,1,0,-1
89,High,SPRING,OTHER,0,0,1,0,0,0,0,-1
90,Low,BOAT,SPORT+LEISURE,0,0,0,0,-1,1,0,1
93,High,CHECKERS,SPORT+LEISURE,0,0,0,0,1,1,0,-1
94,Low,DANCE,SPORT+LEISURE,0,0,0,0,0,1,0,-1
