,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Black,rjdnv,Plane,Bag,match,0,1
1,Blue,qxsw,Boat,Bell,match,0,1
2,Green,wvcnz,Cross,Boat,match,0,1
3,Blue,qxsw,Boat,Bone,match,0,1
4,Black,rjdnv,Plane,Bow,match,0,1
5,Green,wvcnz,Cross,Cane,match,0,1
6,Red,xkq,Cup,Car,match,0,1
7,Brown,zbxlv,House,Cross,match,0,1
8,Brown,zbxlv,House,Cup,match,0,1
9,Black,rjdnv,Plane,Disc,match,0,1
10,Pink,mtpv,Lamp,Flag,match,0,1
11,Pink,mtpv,Lamp,Fork,match,0,1
12,Pink,mtpv,Lamp,Hand,match,0,1
13,Red,xkq,Cup,Heart,match,0,1
14,Red,xkq,Cup,House,match,0,1
15,Brown,zbxlv,House,Key,match,0,1
16,Brown,zbxlv,House,Lamp,match,0,1
17,Pink,mtpv,Lamp,Leaf,match,0,1
18,Blue,qxsw,Boat,Lock,match,0,1
19,Black,rjdnv,Plane,Note,match,0,1
20,Blue,qxsw,Boat,Plane,match,0,1
21,Green,wvcnz,Cross,Shoe,match,0,1
22,Brown,zbxlv,House,Square,match,0,1
23,Green,wvcnz,Cross,Star,match,0,1
24,Red,xkq,Cup,Tree,match,0,1
25,Green,wvcnz,Cross,Bag,match,0,2
26,Green,wvcnz,Cross,Bell,match,0,2
27,Green,wvcnz,Cross,Boat,match,0,2
28,Black,rjdnv,Plane,Bone,match,0,2
29,Brown,zbxlv,House,Bow,match,0,2
30,Red,xkq,Cup,Cane,match,0,2
31,Pink,mtpv,Lamp,Car,match,0,2
32,Blue,qxsw,Boat,Cross,match,0,2
33,Black,rjdnv,Plane,Cup,match,0,2
34,Pink,mtpv,Lamp,Disc,match,0,2
35,Brown,zbxlv,House,Flag,match,0,2
36,Red,xkq,Cup,Fork,match,0,2
37,Black,rjdnv,Plane,Hand,match,0,2
38,Pink,mtpv,Lamp,Heart,match,0,2
39,Blue,qxsw,Boat,House,match,0,2
40,Red,xkq,Cup,Key,match,0,2
41,Brown,zbxlv,House,Lamp,match,0,2
42,Blue,qxsw,Boat,Leaf,match,0,2
43,Red,xkq,Cup,Lock,match,0,2
44,Blue,qxsw,Boat,Note,match,0,2
45,Brown,zbxlv,House,Plane,match,0,2
46,Black,rjdnv,Plane,Shoe,match,0,2
47,Pink,mtpv,Lamp,Square,match,0,2
48,Brown,zbxlv,House,Star,match,0,2
49,Green,wvcnz,Cross,Tree,match,0,2
50,Pink,mtpv,Lamp,Bag,mismatch,1,0
51,Brown,zbxlv,House,Bell,mismatch,1,0
52,Red,xkq,Cup,Boat,mismatch,1,0
53,Red,xkq,Cup,Bone,mismatch,1,0
54,Black,rjdnv,Plane,Bow,mismatch,1,0
55,Red,xkq,Cup,Cane,mismatch,1,0
56,Blue,qxsw,Boat,Car,mismatch,1,0
57,Pink,mtpv,Lamp,Cross,mismatch,1,0
58,Brown,zbxlv,House,Cup,mismatch,1,0
59,Blue,qxsw,Boat,Disc,mismatch,1,0
60,Green,wvcnz,Cross,Flag,mismatch,1,0
61,Black,rjdnv,Plane,Fork,mismatch,1,0
62,Brown,zbxlv,House,Hand,mismatch,1,0
63,Green,wvcnz,Cross,Heart,mismatch,1,0
64,Black,rjdnv,Plane,House,mismatch,1,0
65,Brown,zbxlv,House,Key,mismatch,1,0
66,Green,wvcnz,Cross,Lamp,mismatch,1,0
67,Pink,mtpv,Lamp,Leaf,mismatch,1,0
68,Blue,qxsw,Boat,Lock,mismatch,1,0
69,Black,rjdnv,Plane,Note,mismatch,1,0
70,Green,wvcnz,Cross,Plane,mismatch,1,0
71,Brown,zbxlv,House,Shoe,mismatch,1,0
72,Blue,qxsw,Boat,Square,mismatch,1,0
73,Red,xkq,Cup,Star,mismatch,1,0
74,Pink,mtpv,Lamp,Tree,mismatch,1,0
75,Red,xkq,Cup,Bag,mismatch,2,0
76,Blue,qxsw,Boat,Bell,mismatch,2,0
77,Brown,zbxlv,House,Boat,mismatch,2,0
78,Pink,mtpv,Lamp,Bone,mismatch,2,0
79,Pink,mtpv,Lamp,Bow,mismatch,2,0
80,Brown,zbxlv,House,Cane,mismatch,2,0
81,Black,rjdnv,Plane,Car,mismatch,2,0
82,Pink,mtpv,Lamp,Cross,mismatch,2,0
83,Green,wvcnz,Cross,Cup,mismatch,2,0
84,Blue,qxsw,Boat,Disc,mismatch,2,0
85,Black,rjdnv,Plane,Flag,mismatch,2,0
86,Blue,qxsw,Boat,Fork,mismatch,2,0
87,Brown,zbxlv,House,Hand,mismatch,2,0
88,Black,rjdnv,Plane,Heart,mismatch,2,0
89,Green,wvcnz,Cross,House,mismatch,2,0
90,Green,wvcnz,Cross,Key,mismatch,2,0
91,Red,xkq,Cup,Lamp,mismatch,2,0
92,Red,xkq,Cup,Leaf,mismatch,2,0
93,Brown,zbxlv,House,Lock,mismatch,2,0
94,Pink,mtpv,Lamp,Note,mismatch,2,0
95,Red,xkq,Cup,Plane,mismatch,2,0
96,Blue,qxsw,Boat,Shoe,mismatch,2,0
97,Brown,zbxlv,House,Square,mismatch,2,0
98,Black,rjdnv,Plane,Star,mismatch,2,0
99,Green,wvcnz,Cross,Tree,mismatch,2,0
